distance_quartile	n_pairs	at_macro_recall	at_n	isAt_macro_recall	isAt_n
Q1	271	0.6915246960560467	271	0.8028455284552845	157
Q2	273	0.7349550056242969	273	0.7814935064935065	158
Q3	269	0.7262794709603221	269	0.7532101471969934	134
Q4	270	0.61432051064185	270	0.8392857142857143	158
