domain	task	rho	p	n_documents
A_impresso	at	-0.23217238858452813	0.08806732638746986	55
A_impresso	isAt	-0.17304254310082431	0.20644634508213244	55
B_surprise	at	-0.01223018685750899	0.9488560899693202	30
