ocr_tertile	n_pairs	at_macro_recall	at_n	isAt_macro_recall	isAt_n
T1	237	0.7105109580680787	237	0.8451252236135958	237
T2	228	0.6365887818542051	228	0.7796052631578947	228
T3	173	0.6781871345029241	173	0.7887101210121013	173
